"Symbol","Open","High","Low","Prev. Close","LTP","%chng","Volume","Value","CA "
"DELPHIFX",205,233.8,205,195.55,228.6,16.9,599226,133513545.06,"19-Sep-2024"
"CAPTRU-RE",0.08,0.08,0.08,0.07,0.08,14.29,181,14.48,"-"
"ROML",57.2,63.89,56.42,55.99,61.77,10.32,203700,12609030,"19-Sep-2024"
"SAKSOFT",201.75,222.44,201.75,199.74,219.95,10.12,4605589,1006136972.94,"19-Nov-2024"
"SUMEETINDS",95.41,95.41,95.41,86.74,95.41,10,5298,505482.18,"23-Sep-2024"
"GVPTECH",10.11,11.12,10.11,10.11,11.12,9.99,131493,1446423,"30-Jun-2025"
"TNTELE",18.4,19.18,18.31,17.44,19.18,9.98,517234,9796411.96,"20-Sep-2024"
"RATEGAIN",448,479.3,447.6,440.1,478.95,8.83,1101040,513172723.2,"-"
"MUKANDLTD",148,158.8,145.91,144.33,156.78,8.63,3012670,462896745.5,"26-Jul-2024"
"UNIVPHOTO",307,325,305.05,291.57,316.61,8.59,265077,83920727.43,"20-Sep-2024"
"ASAL",576.85,617.8,573.6,570.7,608.55,6.63,118773,71223417.18,"02-Jul-2024"
"TFL",19.81,19.81,18.11,18.43,19.6,6.35,46376,902476.96,"04-Nov-2022"
"CONFIPET",53.2,55.69,52.87,52.3,55.56,6.23,2789196,151760154.36,"23-Sep-2024"
"ALANKIT",14.97,16.43,14.96,14.94,15.85,6.09,2680095,42908320.95,"14-Aug-2024"
"GTL",10.59,10.97,10.55,10.31,10.9,5.72,536014,5778230.92,"21-Sep-2015"
"SAMBHV",99.27,104,99.27,97.59,103.01,5.55,12870467,1319480276.84,"-"
"JAIBALAJI",122.55,130.6,120.8,121.71,128.16,5.3,2745321,349671535.77,"17-Jan-2025"
"QPOWER",672.2,705.8,663.3,669.55,704.9,5.28,736302,506804029.62,"-"
"HARIOMPIPE",397.5,417.7,396,396.95,417.7,5.23,153675,62648687.25,"13-Sep-2024"
"PRIVISCL",2371.9,2513.4,2260,2371.9,2494.3,5.16,434304,1029925877.76,"24-Jul-2024"